ENV,FL1,FL2,FL3,psi,gen.var,error.var,H2,fa1.pct,fa2.pct,fa3.pct,totGenVar
Abuja20,3.59,-0.65,2.73,1.47,22.26,34.98,0.39,58.05,1.9,33.46,93.41
Ago-Owu18,3.29,-0.97,-2.41,4.95,22.54,47.66,0.32,48.16,4.15,25.7,78.01
Ago-Owu19,1.99,-0.66,-0.44,18.09,22.66,46.48,0.33,17.42,1.9,0.86,20.18
Ago-Owu20,6.18,1.18,-1.17,7.4,48.35,53.82,0.47,78.96,2.89,2.83,84.68
Ibadan18,2.41,-1.44,-0.75,43.73,52.2,68.3,0.43,11.16,3.98,1.07,16.21
Ibadan19,5.72,-0.72,-1.8,23.93,60.38,61.69,0.49,54.15,0.86,5.36,60.37
Ibadan20,3.16,-0.61,-0.29,4.63,15.08,43.43,0.26,66.24,2.48,0.56,69.28
Ikenne17,8.03,0.96,-0.3,23.76,89.2,55.07,0.62,72.24,1.02,0.1,73.36
Ikenne18,5.42,-1.46,-2.62,7.86,46.23,30.79,0.6,63.59,4.59,14.82,83
Ikenne19,1.72,-0.47,1.5,9.11,14.54,21.44,0.4,20.34,1.55,15.47,37.36
Ikenne20,8.52,3.09,-1.1,0,83.32,57.88,0.59,87.07,11.47,1.46,100
Kano19,0.27,1.38,1.01,0,3.02,28.46,0.1,2.45,63.36,34.11,99.92
Mokwa17,1.12,3.08,3.15,0,20.6,23.84,0.46,6.05,45.93,48.03,100
Mokwa18,3.77,3.36,0.99,28,54.5,51.73,0.51,26.1,20.74,1.78,48.62
Mokwa19,2.82,3.02,-0.34,11.62,28.82,32.94,0.47,27.64,31.64,0.4,59.68
Mokwa20,2.86,1.14,0.85,0,10.21,10.1,0.5,80.18,12.66,7.13,99.96
Onne18,4.75,1.59,-0.34,0,25.18,80.42,0.24,89.56,10,0.45,100.01
Onne19,3.16,-0.74,0.45,1.92,12.64,16.21,0.44,78.92,4.32,1.57,84.81
Onne20,1.69,-0.68,0.44,1.75,5.27,14.13,0.27,54.41,8.83,3.64,66.89
Otobi18,2.5,-2.03,2.67,0,17.51,55.1,0.24,35.64,23.62,40.74,100.01
Otobi19,5.24,-4.36,1.13,3.93,51.64,122.4,0.3,53.11,36.81,2.46,92.38
Ubiaja17,4.99,-2.24,1.29,0,31.58,33.83,0.48,78.81,15.9,5.3,100
Ubiaja18,2.29,-2.02,1.56,8.53,20.31,23.61,0.46,25.9,20.18,11.92,58
Ubiaja20,2.82,0.79,2.54,0.51,15.55,14.9,0.51,51.17,4.03,41.52,96.72
Umudike17,3.56,-1.01,0.61,0,14.08,36.48,0.28,90.15,7.23,2.66,100.03
Umudike19,4.43,-1,0.05,11.87,32.48,61.36,0.35,60.36,3.09,0.01,63.46
Zaria20,1.44,0.7,0.67,0,2.99,12.89,0.19,68.88,16.19,15.05,100.12
