"","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne17","Ikenne18","Ikenne19","Ikenne20","Kano19","Mokwa17","Mokwa18","Mokwa19","Mokwa20","Onne18","Onne19","Onne20","Otobi18","Otobi19","Ubiaja17","Ubiaja18","Ubiaja20","Umudike17","Umudike19","Zaria20"
"Abuja20",19.29,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ago-Owu18",0.44,25.72,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ago-Owu19",0.41,0.35,30.1,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ago-Owu20",0.4,0.34,0.32,31.9,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ibadan18",0.29,0.25,0.23,0.22,59.92,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ibadan19",0.31,0.27,0.25,0.24,0.18,51.61,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ibadan20",0.57,0.5,0.46,0.44,0.32,0.35,15.22,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ikenne17",0.28,0.25,0.23,0.22,0.16,0.17,0.32,61.49,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ikenne18",0.36,0.31,0.29,0.28,0.2,0.22,0.4,0.2,39.07,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ikenne19",0.48,0.42,0.39,0.38,0.27,0.3,0.54,0.27,0.34,21.38,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Ikenne20",0.29,0.25,0.23,0.23,0.17,0.18,0.33,0.16,0.2,0.28,58.86,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Kano19",0.57,0.5,0.46,0.45,0.33,0.35,0.65,0.32,0.4,0.54,0.33,15.15,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Mokwa17",0.41,0.36,0.33,0.32,0.23,0.25,0.46,0.23,0.29,0.39,0.24,0.46,29.32,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
"Mokwa18",0.31,0.27,0.25,0.24,0.17,0.19,0.35,0.17,0.22,0.29,0.18,0.35,0.25,52.75,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
