"","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne17","Ikenne18","Ikenne19","Ikenne20","Kano19","Mokwa17","Mokwa18","Mokwa19","Mokwa20","Onne18","Onne19","Onne20","Otobi18","Otobi19","Ubiaja17","Ubiaja18","Ubiaja20","Umudike17","Umudike19","Zaria20"
"Abuja20",23.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ago-Owu18",0,23.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ago-Owu19",0,0,22.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ago-Owu20",0,0,0,44.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibadan18",0,0,0,0,53.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibadan19",0,0,0,0,0,62.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ibadan20",0,0,0,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ikenne17",0,0,0,0,0,0,0,81.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ikenne18",0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ikenne19",0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ikenne20",0,0,0,0,0,0,0,0,0,0,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kano19",0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mokwa17",0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mokwa18",0,0,0,0,0,0,0,0,0,0,0,0,0,56.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mokwa19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0
"Mokwa20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0
"Onne18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0
"Onne19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.11,0,0,0,0,0,0,0,0,0
"Onne20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0
"Otobi18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0
"Otobi19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.84,0,0,0,0,0,0
"Ubiaja17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.64,0,0,0,0,0
"Ubiaja18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.81,0,0,0,0
"Ubiaja20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0
"Umudike17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0
"Umudike19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.24,0
"Zaria20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
