"","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne17","Ikenne18","Ikenne19","Ikenne20","Kano19","Mokwa17","Mokwa18","Mokwa19","Mokwa20","Onne18","Onne19","Onne20","Otobi18","Otobi19","Ubiaja17","Ubiaja18","Ubiaja20","Umudike17","Umudike19","Zaria20"
"Abuja20",1,0.263666276173199,0.283401003484877,0.556387202754904,0.22241920791545,0.439500649908566,0.598476426835493,0.615136521340522,0.414482913417319,0.588313396517121,0.594282178994423,0.347422951227052,0.494745215217686,0.403698586430422,0.286252454222337,0.78774629143068,0.638752969469279,0.778039712069187,0.71311679344505,0.891116648942302,0.729665542017898,0.864514168928566,0.649482193488089,0.890038300779948,0.854649548287775,0.621496656819956,0.800791925903905
"Ago-Owu18",0.263666276173199,1,0.36469875341917,0.667318741985362,0.324934442690046,0.646955536215696,0.634990889338796,0.585432496461989,0.792318545597092,0.138950568573893,0.639933903889006,-0.349889034744324,-0.318827942486073,0.194086209631394,0.282368913113597,0.413670054962835,0.626238294082794,0.595327601750596,0.475551306029537,0.189811974218733,0.550030085890925,0.580710448365428,0.269816478395588,0.128875037524065,0.631029157156716,0.570407794200174,0.297170399641236
"Ago-Owu19",0.283401003484877,0.36469875341917,1,0.362965776750798,0.176530359073453,0.341291200433667,0.368305102331284,0.343680852431716,0.397999252202663,0.168927541984313,0.353916121025816,-0.0985980682883178,-0.0550314403000802,0.138051445289526,0.147694749412991,0.299938697339651,0.357509981012105,0.387752655448344,0.330977745978613,0.257026311952085,0.373287543727205,0.404120608704452,0.242381152075285,0.211144310197829,0.418128373112343,0.347608535481403,0.254789135207063
"Ago-Owu20",0.556387202754904,0.667318741985362,0.362965776750798,1,0.280360934962537,0.677048952612043,0.709141740920948,0.77783700123948,0.736925439597206,0.313458949399735,0.907123533735815,0.176291763208679,0.21723675273567,0.509007846310431,0.573471220915881,0.811479307054771,0.905960283174706,0.732990247536475,0.572648645954917,0.34058003591726,0.518122724230431,0.68239506502253,0.317887848233535,0.561457384415883,0.77049057307829,0.659005143496386,0.740298109758692
"Ibadan18",0.22241920791545,0.324934442690046,0.176530359073453,0.280360934962537,1,0.288273645094168,0.311124104052466,0.267101630153738,0.348988550598674,0.134936975331175,0.256713944745786,-0.16693603555139,-0.124633753969728,0.0660569324293026,0.0699503830734549,0.200680986466204,0.26001770542449,0.325374264464923,0.285964218887326,0.230598298820007,0.348453945453919,0.352456583239473,0.224111348174191,0.132449944408781,0.354043391896855,0.293744537435694,0.156897241289117
"Ibadan19",0.439500649908566,0.646955536215696,0.341291200433667,0.677048952612043,0.288273645094168,1,0.630849496325088,0.623397532024851,0.695774388784003,0.252301212965025,0.683243438943546,-0.0938770288345725,-0.042321015936344,0.302835247171553,0.3493902363925,0.564200722874105,0.682516272188108,0.643879378129551,0.525892861751173,0.336540525880537,0.556204096262226,0.636873954052317,0.336231082991257,0.358557261960394,0.685699422954982,0.585854598648852,0.483320710875407
"Ibadan20",0.598476426835493,0.634990889338796,0.368305102331284,0.709141740920948,0.311124104052466,0.630849496325088,1,0.678233482735502,0.711662870769435,0.357147908324546,0.715282489228625,-0.0417002443777909,0.0415245808405399,0.33418169934877,0.34413104201239,0.652926944019724,0.72550956242462,0.746331041656185,0.632555687766209,0.514515111815605,0.676912069059562,0.768024404931965,0.459084530367302,0.502299657144318,0.802740727711145,0.65933329580846,0.582780426408332
"Ikenne17",0.615136521340522,0.585432496461989,0.343680852431716,0.77783700123948,0.267101630153738,0.623397532024851,0.678233482735502,1,0.668368832128988,0.358124109426074,0.83118769668754,0.194963450400631,0.255419503051433,0.476042436330702,0.505736420871613,0.788644579237263,0.838425731934188,0.729961681962024,0.590514518616317,0.437831285029581,0.553013350001329,0.706797331499163,0.37611343414173,0.607668695379395,0.774416019473398,0.642251492463485,0.733273074743526
"Ikenne18",0.414482913417319,0.792318545597092,0.397999252202663,0.736925439597206,0.348988550598674,0.695774388784003,0.711662870769435,0.668368832128988,1,0.234885245691836,0.71812273245883,-0.270757979760247,-0.215949111066977,0.258438975657287,0.323096079443721,0.535136039472445,0.712632562361585,0.70467165335721,0.578193177697699,0.334520847514126,0.650885643063767,0.704775694605322,0.369284518968552,0.279358832233425,0.75190337814346,0.653712649970225,0.426037195226636
"Ikenne19",0.588313396517121,0.138950568573893,0.168927541984313,0.313458949399735,0.134936975331175,0.252301212965025,0.357147908324546,0.358124109426074,0.234885245691836,1,0.331066661206016,0.201293732948224,0.299116846127665,0.226233083013035,0.142087206238739,0.464615308209434,0.361107830663865,0.475806526033328,0.444535139202855,0.580802096794622,0.465870475887208,0.540509728420983,0.421269358121467,0.551043693991277,0.525679818770721,0.375849453448349,0.476506535070989
