"loc","year","env","trial","set","rep","gen","prop_hav","trait","y"
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"IITA-TMS-IBA980581",0.35,"fyld",21.25
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1126P0006",1,"fyld",46.875
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1343P0013",1,"fyld",28.125
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1307P0016",1,"fyld",50
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMEB419",0.85,"fyld",33.125
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1160P0004",1,"fyld",29.375
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1088P0007",1,"fyld",45
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1069P0024",1,"fyld",53.125
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1401P0016",1,"fyld",46.875
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1343P0002",1,"fyld",57.5
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1377P0018",1,"fyld",57.5
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1288P0005",1,"fyld",40.625
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1063P0013",1,"fyld",28.125
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F2110P0008",1,"fyld",29.375
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1365P0002",1,"fyld",26.25
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1365P0029",1,"fyld",20.625
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1095P0011",1,"fyld",33.75
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"IITA-TMS-IBA982101",1,"fyld",46.875
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1020P0001",1,"fyld",49.375
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1362P0001",1,"fyld",30
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1124P0004",1,"fyld",41.875
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"IITA-TMS-IBA000070",0.95,"fyld",50
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1343P0044",1,"fyld",31.25
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1343P0045",1,"fyld",26.25
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"IITA-TMS-IBA30572",1,"fyld",15.625
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1176P0002",1,"fyld",23.75
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1053P0015",1,"fyld",37.5
"Ikenne",2017,"Ikenne17","16C1UYT34IK","C",1,"TMS13F1053P0010",1,"fyld",44.375
