env,trial,trait,min,max,mean,std,gen_var,res_var,pev,pheno_var,H2,cv,Accr
Abuja20,19UYT36setAAB,dm,25.1,39.5,34.091803279,3.2053754373,6.8172,3.2670,1.7426926181,10.084127794,0.6760297735,5.3017805362,0.8627671588
Abuja20,19UYT36setBAB,dm,27.6,39.6,34.536111111,2.7144011118,4.4444,3.0186,1.2188316864,7.4629444444,0.5955254054,5.0306869822,0.8519145867
Ago-Owu18,17UYT36setAAG,dm,26,40,32.962616822,2.602340143,3.0174,3.8500,0.9668345568,6.8674490066,0.4393843431,5.9526267404,0.824369767
Ago-Owu18,17UYT36setBAG,dm,25,40,33.053763441,3.1840826656,3.1416,6.8496,1.5342753315,9.9911924179,0.3144357082,7.9179333434,0.7152791191
Ago-Owu19,18UYT36setAAG,dm,24,38,31.490740741,2.9968686785,4.1640,4.9458,1.2638729185,9.1097883598,0.4570930739,7.0621015523,0.8345524472
Ago-Owu19,18UYT36setBAG,dm,26,38,31.675925926,2.7979588812,4.3717,3.1989,0.9548494164,7.5706349206,0.5774539609,5.646428728,0.8840721764
Ago-Owu20,19UYT36setAAG,dm,27.9,41.5,34.864861111,2.9981299303,4.0172,4.8024,1.5727199133,8.8195726587,0.4554846719,6.2855152812,0.7800650762
Ago-Owu20,19UYT36setBAG,dm,28.5,39.6,33.951388889,2.5756165982,4.1522,2.5750,1.0707932692,6.7271230159,0.6172265202,4.7263737299,0.8614590372
Ibadan18,17UYT36setAIB,dm,30,46,38.525773196,3.2245567638,4.0386,5.0636,1.2988646963,9.1022858872,0.4436959206,5.8409030093,0.8236450326
Ibadan19,18UYT36setAIB,dm,29.7,45.9,40.690291262,3.0764926096,4.9939,3.9001,1.2838159146,8.8940015566,0.5614920572,4.8534050105,0.8619302533
Ibadan19,18UYT36setBIB,dm,30.6,45.9,40.051,2.8475931712,2.5212,4.9955,1.1057002317,7.5166582851,0.3354091218,5.5805400279,0.7492871337
Ibadan20,19UYT36setAIB,dm,26.7,43.2,33.739705882,3.5522597267,5.0699,7.7559,2.40510657,12.825770869,0.3952899183,8.254182192,0.7249899685
Ibadan20,19UYT36setBIB,dm,21.7,36,30.94,2.6226656287,2.4734,4.2785,1.2657468447,6.7519936575,0.3663279887,6.6854087594,0.6987599485
Ikenne17,16C1UYT34IK,dm,24.31,41.99,34.5604,4.2794842793,12.8100,4.2487,1.6467035139,17.058741233,0.7509349732,5.9641849832,0.9335158115
Ikenne18,17C1UYT34IK,dm,24,42,33.05,3.1570827859,7.3787,2.9463,1.0795282757,10.325053909,0.7146409992,5.1936237953,0.9239571527
Ikenne18,17UYT36setAIK,dm,23,40,32.407407407,3.3545534322,5.7193,4.8061,1.3755849111,10.525396825,0.5433820942,6.7647448285,0.87148391
Ikenne18,17UYT36setBIK,dm,28,45,37.509259259,3.7628170258,8.7262,5.1640,1.6401886826,13.89021164,0.6282258832,6.0583661746,0.9011317355
Ikenne19,18UYT36setAIK,dm,21,37,30.712962963,3.120780294,3.8460,5.7601,1.3519371843,9.6060846561,0.4003745421,7.8143259112,0.8052857709
Ikenne19,18UYT36setBIK,dm,22,42,32.87962963,2.9819318601,4.5164,4.4156,1.2047153087,8.932010582,0.5056422711,6.3909932938,0.8563047003
Ikenne20,19UYT36setAIK,dm,20.3,40,31.886111111,3.736055974,11.1997,2.9302,1.5707175287,14.129888889,0.7926257859,5.3684040436,0.9272290902
Ikenne20,19UYT36setBIK,dm,26.7,38.2,32.726388889,2.665216375,4.6802,2.5245,1.0965319392,7.2047579365,0.6496037947,4.8550231755,0.8750486976
Kano19,18UYT36setAKN,dm,18.6,40.7,31.483516484,4.7856791864,5.7644,16.4634,3.1840037229,22.227779589,0.2593340659,12.887717034,0.6690631323
Kano19,18UYT36setBKN,dm,20.1,40.7,30.550505051,3.6536359787,3.8296,8.6921,1.8197126189,12.521660298,0.3058355075,9.6503654976,0.7244485187
